ats_score,skill_score,keyword_score,semantic_score,experience_score,education_score,project_score,coding_score,aptitude_score,interview_score,selected
24.2,0.0,25.0,14.8,30.0,100.0,30.0,0.0,0.0,0.0,0
22.4,0.0,25.0,5.5,30.0,100.0,30.0,0.0,0.0,0.0,0
24.0,0.0,25.0,14.0,30.0,100.0,30.0,0.0,0.0,0.0,0
23.8,0.0,25.0,12.7,30.0,100.0,30.0,0.0,0.0,0.0,0
22.1,0.0,25.0,4.2,30.0,100.0,30.0,0.0,0.0,0.0,0
21.6,0.0,20.0,5.5,30.0,100.0,30.0,0.0,0.0,0.0,0
20.5,0.0,20.0,0.0,30.0,100.0,30.0,0.0,0.0,0.0,0
23.6,0.0,20.0,15.6,30.0,100.0,30.0,0.0,0.0,0.0,0
23.6,0.0,20.0,15.5,30.0,100.0,30.0,0.0,0.0,0.0,0
21.8,0.0,20.0,6.3,30.0,100.0,30.0,0.0,0.0,0.0,0
23.3,0.0,20.0,14.0,30.0,100.0,30.0,0.0,0.0,0.0,0
23.2,0.0,20.0,13.4,30.0,100.0,30.0,0.0,0.0,0.0,0
21.3,0.0,20.0,4.2,30.0,100.0,30.0,0.0,0.0,0.0,0
21.0,0.0,15.0,6.4,30.0,100.0,30.0,0.0,0.0,0.0,0
19.8,0.0,15.0,0.0,30.0,100.0,30.0,0.0,0.0,0.0,0
22.5,0.0,15.0,13.8,30.0,100.0,30.0,0.0,0.0,0.0,0
22.6,0.0,15.0,14.1,30.0,100.0,30.0,0.0,0.0,0.0,0
21.1,0.0,15.0,6.9,30.0,100.0,30.0,0.0,0.0,0.0,0
22.4,0.0,15.0,13.3,30.0,100.0,30.0,0.0,0.0,0.0,0
22.5,0.0,15.0,13.6,30.0,100.0,30.0,0.0,0.0,0.0,0
20.8,0.0,15.0,5.1,30.0,100.0,30.0,0.0,0.0,0.0,0
66.2,100.0,100.0,48.4,30.0,40.0,30.0,0.0,0.0,0.0,1
